delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela 
DELO V DROGERIJI,435716,LESCE,6.88,8.0,"Ste angažirani, fleksibilni, urejeni, pozitivno naravnani? Vas zanima študentsko delo v urejenem okolju? Podjetje vabi v svoj tim v poslovalnici Lesce polnoletni osebi, ki bi skupaj z zaposlenimi zagotavljali odličen servis strankam in tako aktivno sodelovali pri uspehih podjetja. Delo je izmensko in poteka tudi ob sobotah, po potrebi in dogovoru.   Pogoji: urejenost, komunikativnost, veselje do dela z ljudmi. Za prijavo pošljite e-mail. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
KOŠNJA TRAVE,435715,MARIBOR,7.74,9.0,"Pomožna dela pri urejanju okolice - košnja trave. Priporočljive so izkušnje. Pogoji: vozniški izpit B kategorije za premik in prevoz kombijev, zanesljivost, vestnost in odgovornost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POUČEVANJE,435714,LJUBLJANA,8.0,9.3,Poučevanje matematike za 8. razred osnovne šole. Dela se 4 ure na teden. Delo obsega tudi izvajanje dodatne učne pomoči. Pogoj: pedagoška smer študija ali študij matematike. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
DELO NA RECEPCIJI,435713,LJUBLJANA,7.31,8.5,"Iščejo osebo za receptorska dela. Delo poteka enkrat tedensko, popoldanske ure ( med 14. in 20. uro) oz. po dogovoru tudi več dni tedensko. Glavna naloga je skrb za predavalnice in tehnična pomoč predavateljem ter študentom. Zajema tudi komunikacijo preko telefonov, e-pošte in osebno, informiranje obiskovalcev. Zahtevano je poznavanje Microsoftovih orodij in delo s spletnimi aplikacijami, kot sta Zoom in MSTeams. Prijave pošljite elektronsko in dodajte svoj življenjepis. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,16. 9. 2024
POLNJENJE POLIC,435712,KRANJ,6.88,8.0,Podjetje išče osebi za komisioniranje in pripravo blaga naročnikom preko spletne trgovine ter za polnjenje polic. Na telefon so dosegljivi med ponedeljkom in petkom med 8. in 16. uro. ,2,PO DOGOVORU,PO DOGOVORU,po dogovoru
TELEFONSKI MARKETING,435710,LJUBLJANA,8.61,10.0,"Iščejo osebo za telefonski marketing. Vaša naloga bo telefonsko kontaktiranje potencialnih strank, predstavitev in prodaja njihovih produktov. Pričakujejo odlične komunikacijske veščine, vztrajnost in pozitivno naravnanost.   ",1,CCA. 7 - 14 DNI,DOPOLDAN,26. 8. 2024
DELO NA SEJMU,435709,GORNJA RADGONA,7.12,8.28,"Iščejo osebo za prodajo bonbonov na sejmu. Zaželene izkušnje s prodajo in gotovino, samostojnost, odgovornost in veselje do dela s strankami. ",1,DO 29. 8 . 2024,PO DOGOVORU,po dogovoru
POMIVALEC,435708,ŠKOFJA LOKA,7.4,8.6,"Za delo v restavraciji potrebujejo osebi za pomoč v kuhinji. Od kandidata/ke pričakujejo prilagodljivost ter voljo do dela (priprava živil, pomivanje posode). Prijave zbirajo na e-mail ali pa jih pokličite. ",2,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ PRI PRODAJI,435707,LJUBLJANA - BTC,6.8,7.9,"Podjetje zaradi povečanega obsega dela potrebuje osebe za pomoč pri prodaji v eni izmed večjih modnih trgovin s tekstilom. Ponujajo dinamično delovno okolje in prilagodljiv urnik. Ob sobotah popoldne znaša urna postavka 8,69 € bruto. Delo vključuje delo z blagajno (izkušnje niso potrebne). Pogoj je znanje slovenskega jezika. Prijavi se zdaj in postani del uspešne ekipe. ",10,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,28. 8. 2024
DELO V OPTIKI,435706,MARIBOR,7.01,8.15,"Podjetje z dolgo in bogato tradicijo poslovanja s področja korekcije in zaščite vida, išče študenta/ko za pomoč pri prodaji v optiki. Pogoji so polnoletnost, urejenost in komunikativnost. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
ARHITEKTURNO PROJEKTIRANJE,435705,LJUBLJANA,7.5,8.72,Iščejo pomoč pri delu v arhitekturnem biroju. Prednost imajo kandidat/ka zaključnega letnika Fakultete za arhitekturo. Predznanje projektnega dela ni potrebno. Znanje Autocad je pogoj. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
ADMINISTRATIVNA DELA,435704,LJUBLJANA,6.2,7.21,"Kreativna agencija išče osebo za pomoč na recepciji. Gre za administrativna dela, pripravo sejnih sob, pomoč pri organizaciji dogodkov, priprava dopisov in pomoč vodji pisarne. Želijo si natančno, zanesljivo, odgovorno, samoiniciativno in prilagodljivo osebo. Prednost imajo študenti/ke zaključnih letnikov oz. absolventi/ke. Prijave pošljite elektronsko in dodajte svoj življenjepis. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,23. 9. 2024
DELO V KAVARNI,435703,LJUBLJANA,7.0,8.13,"V kavarni vabijo k sodelovanju prijazne in komunikativne osebe za strežbo. Izkušnje so zaželene, niso pa pogoj. Urna postavka je začetna in se lahko dvigne do 10,46 € bruto. ",4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
UREJANJE ARHIVA,435702,DOMŽALE,6.2,7.21,Iščejo študenta/ko za opravljanje administrativnih del in delo v arhivu. Delovnik je po potrebi in dogovoru. ,1,PO DOGOVORU,PO DOGOVORU,2. 9. 2024
TAJNIŠKA DELA,435699,LJUBLJANA,6.2,7.21,"Podjetje išče študenta/ko za delo v tajništvu (administrativno delo, delo v Excel-u, komunikacija po telefonu ipd. ). Iščejo zanesljivo in odgovorno osebo. ",1,DO 30. 9. 2024,DOPOLDAN,po dogovoru
PAKIRANJE,435697,BRNIK,8.0,9.3,"Uspešno podjetje s spletno trgovino išče več oseb za delo v skladišču/pakirnici med tednom. Delo poteka v dveh izmenah, po dogovoru in potrebi in zajema predvsem pakiranje, zlaganje artiklov na police in skrb za urejenost prostora. Zainteresirani, ki ste polnoletni in imate lasten prevoz, pokličite. Pogoj je tudi znanje slovenščine. Prijave sprejemajo med ponedeljkom in petkom. Pričetek dela je možen takoj. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
PROJEKTNO DELO,435696,MARIBOR,7.5,8.72,"Delo zajema pripravo projektne dokumentacije, sodelovanje pri izvedbi projektov, sodelovanje na projektnih sestankih. Projektno delo zajema predvsem pripravo projektnih prijavnic, ki se prijavljajo na evropske in lokalne razpise. Odlično znanje angleščine je pogoj. Obstaja možnost kariernega razvoja in kasnejše redne zaposlitve, v kolikor se oseba izkaže pri delu in ima veselje do dela na področju razvoja novih projektov. Pogoj je starost 21 let oz. zadnji letnik podiplomskega študija/absolvent. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POUČEVANJE,435694,LJUBLJANA BEŽIGRAD,8.15,9.47,Potrebujejo študenta/ko razrednega pouka (višji letnik) za poučevanje v 4. razredu na osnovni šoli. Delovnik je po potrebi in dogovoru. ,1,DO 30. 9. 2024 OZ PO DOGOVORU,DOPOLDAN,1. 9. 2024
KINEZIOLOG/INJA,435693,TOPOLŠČICA,10.15,11.8,"Potrebujejo študenta/ko kineziologije za pomoč pri izvajanju programa, ki je namenjen in prilagojen starostnikom in ga je potrebno prilagajati določenim deformacijam, degenerativnim spremembam ter bolezenskim stanjem. Delovnik je ob ponedeljkih in četrtkih med 10. 00 in 11. 30. Pred pričetkom dela prejmete strokovno literaturo ter navodila z uvajanjem pod vodstvom mag. kineziologije. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POMOČ PRI PRODAJI,435692,TOLMIN,8.0,9.3,"Uspešno trgovsko podjetje ti ponuja možnost dela v super kolektivu, kjer lahko dobro zaslužiš in dobiš veliko izkušenj na področju dela v trgovini. Nudijo ti prilagodljiv urnik, ki ti omogoča prilagajanje študijskim obveznostim. Če meniš, da si zanesljiva oseba, ki ji je mar za čistočo in red, ne odlašaj s prijavo in se jim pridruži. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
DOSTAVA,435691,MENGEŠ,7.0,8.13,"Potrebujejo osebo za pomoč pri delu v skladišču, po potrebi pa tudi za delo na terenu (dostava vode in aparatov). Prijave po elektronski pošti. ",1,POČITNIŠKO DELO,DOPOLDAN,28. 8. 2024
DELO V SKLADIŠČU,435690,MARIBOR,6.2,7.21,"Iščejo študente/ke, ki bi v skladišču pripravljali pakete s šolskimi potrebščinami. Zaželene so predhodne izkušnje. Prosijo, da jih kontaktirate samo resni. ",8,PO DOGOVORU,POPOLDAN,po dogovoru
POLNJENJE POLIC IN BLAGAJNIK,435689,LJUBLJANA,7.12,8.28,"Za vsestransko pomoč na bencinskem servisu potrebujejo polnoletne, vestne, komunikativne in zanesljive osebe. Delovno mesto zajema; delo s strankami, delo na blagajni, polnjenje in čiščenje polic, ipd. Dela se v dopoldanskem času, po dogovoru in potrebi. Interesenti naj prijavo oddajo s klikom na gumb Prijavi se na delo. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
VODJA PROMOCIJSKE EKIPE,435687,LJUBLJANA,9.0,10.46,"So priznana organizacija, ki išče komunikativno in zanesljivo osebo za vodenje ekipe promotorjev na terenu (koordinacija dela, uvajanje novih sodelavcev in motivacija ekipe). Urnik je prilagodljiv. Poleg osnovne urne postavke nudijo stimulacije do 13 €/h bruto. Po preteku statusa je možna redna zaposlitev, sicer pa delo pri njih predstavlja odlično referenco za naprej. Če te delo zanima pošlji prijavo - CV ni potreben. Pogoj je lastno prevozno sredstvo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POMOČ V KUHINJI IN STREŽBI,435686,SLOVENJ GRADEC,7.5,8.72,"Za pomoč v kuhinji in strežbi potrebujejo vestno in zanesljivo osebo z osnovnim znanjem angleškega jezika. Gre za delo v dopoldanskem času, po dogovoru in potrebi. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
OSEBNA ASISTENCA,435685,OKOLICA RADOVLJICE,7.09,8.24,"Za potrebe osebne asistence iščejo osebnega asistenta/ko za njihove uporabnike. Delo bi zajemalo družabništvo, prevoze na različne aktivnosti, ponekod tudi nego. Urnik po dogovoru. ",1,PO DOGOVORU,IZMENSKO,26. 8. 2024
NAKLADANJE/ RAZKLADANJE,435684,ŠKOFJA LOKA,6.88,8.0,"Podjetje išče osebi za delo v skladišču. Delo obsega: razkladanje kontejnerjev, prekladanje kartonov . . . . Pošljite prijavo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
KNJIGOVODSKA DELA,435683,LJUBLJANA,6.45,7.5,"Podjetje potrebuje študenta/ko za knjigovodska dela. Prednost imajo absolventi/ke oz. študenti/ke višjih letnikov ekonomske smeri, natančneje računovodstva. Zaželene so izkušnje v knjigovodstvu po možnosti z delom v računovodskih servisih. Nudijo možnost kasnejše redne zaposlitve za nedoločen čas. Pred nedavnim so se preselili v čisto nove poslovne prostore, ene najbolj modernih in prijaznih ta hip v Sloveniji za zaposlene. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,11. 9. 2024
PROMOCIJA,435682,LJUBLJANA,9.0,10.46,"Iščejo osebo za promocije po drogerijah dm po Sloveniji (Ljubljana, Maribor, Kranj, Koper, Celje). Odhod iz Ljubljane. Promocije se odvijajo v popoldanskem času, med ponedeljkom in soboto, po potrebi in dogovoru. Kilometrina je povrnjena glede na prevožene km - torej, potrebujete vozniški izpit in lastno vozilo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,30. 8. 2024
TEHNIK,435681,KOROŠKA REGIJA,7.0,8.13,"Podjetje potrebuje tehnika (m/ž) na terenu. Delo poteka med ponedeljkom in petkom, po dogovoru in potrebi. Nudijo priložnost za pridobivanje znanja in izkušenj v uspešnem in urejenem podjetju ter dinamično, razgibano in strokovno delo. Pogoj je izpit B kategorije.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POLNJENJE POLIC,435680,LJUBLJANA,6.88,8.0,Trgovinsko podjetje išče polnoletne osebe za lažja dela v trgovini - pomoč na oddelkih in polnjenje polic. ,3,PO DOGOVORU,IZMENSKO,po dogovoru
DELAVNICA SOCIALNIH VEŠČIN,435679,LJUBLJANA,12.0,13.95,"Iščejo študenta/ko za izvajanje preventivnih delavnic za krepitev čustvenih in socialnih veščin. Delavnice se izvajajo v osnovnih šolah in dnevnih centrih. Delo lahko poteka tudi na domu otroka oziroma mladostnika. Ob sobotah delo poteka v kavarni oz. slaščičarni. Ker vsebine na delavnicah naslavljajo tudi preko ustvarjanja z otroki, je potrebno, da je oseba kreativna in jo veseli ustvarjanje, prav tako sta zaželeni samostojnost in komunikativnost. Postavka velja za pedagoško uro. ",1,PO DOGOVORU,IZMENSKO,6. 9. 2024
POMOČ V TRGOVINI,435678,"LJUBLJANA, ŠTEPANSKO NASELJE",8.61,10.0,"Podjetje potrebuje polnoletne, komunikativne, vestne in zanesljive osebe za vsestransko pomoč v trgovini, delo na blagajni ter delo na oddelkih. Možnost kasnejše redne zaposlitve. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČ V STREŽBI,435677,MARIBOR CENTER,coerce,coerce,"V lepem ambientu potrebujejo nova/i člana ali članici ekipe za strežbo. Iščejo zanesljivi, komunikativni, pozitivni, urejeni, prijazni in delavni osebi z izkušnjami ter korektnim in spoštljivim odnosom, tako do sedelavcev kot do strank. Če se najdeš v tem zapisu, se jim pridruži. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
STREŽBA,435676,ŠKOFJA LOKA,6.2,7.21,Strežba v prijetni palačinkarni in kavarni. Potrebujejo osebo z izkušnjami v strežbi. Urna postavka je odvisna od izkušenj ter zagnanosti do dela.     ,2,PO DOGOVORU,PO DOGOVORU,1. 9. 2024
PLESKANJE IN OSTALA FIZIČNA DELA,435675,LJUBLJANA,12.0,13.95,Pomoč pri manjših gradbenih in fizičnih delih. Sanacija mavčno-kartonske kaskade - v predel kaskade je potrebno vstaviti toplotno izolacijo. Oplesk male sobe (cca. 3x2 m). Razstavljanje in prenos pohištva iz ene sobe v drugo. Zaželene so izkušnje s polaganjem mavčno-kartonskih plošč (knaufa). Pričetek dela je možen takoj. ,1,PREDVIDOMA 2 DO 3 DNI,PO DOGOVORU,26. 8. 2024
POMIVALEC,435674,LJUBLJANA,8.0,9.3,Pomivanje posode v kuhinji restavracije. Za več informacij pošlji prijavo ali pokliči. ,2,PO DOGOVORU,POPOLDAN,po dogovoru
PROMOCIJA,435673,SAVINJSKA REGIJA,9.0,10.46,"V svoj tim vabijo študente/ke za zanimivo in dinamično delo! Če te navdušuje delo z mladimi in te zanimajo teme prometne varnosti, duševnega zdravja in inovativnih tehnologij, je to priložnost zate. Delo vključuje postavitev promocijskega prostora, vodenje delavnic, preizkušanje e-skiro simulatorja in poudarjanje pomembnosti varne vožnje. Pogoji: vozniško dovoljenje B kategorije, dobre komunikacijske sposobnosti, energija in veselje do dela z mladimi. Prijave zbirajo do 26. 8. 2024. ",3,PO DOGOVORU,PO DOGOVORU,1. 9. 2024
TESTIRANJE,435671,KRANJ,6.22,7.23,"Iščejo vestne in zanesljive študente/ke za lažja dela v proizvodnji. Gre za pomožna dela v proizvodnji elektronike, večinoma na oddelku testiranja v lepo urejenem in čistem okolju. Delo se bo opravljalo predvidoma do konca septembra. Pošljite prijavo. ",5,POČITNIŠKO DELO,DOPOLDAN,po dogovoru
POŠTNE STORITVE,435670,LJUBLJANA,8.61,10.0,"Iščejo polnoletni osebi za fizična dela v skladišču (sortiranje pošiljk, komisioniranje ipd. ). Delo poteka med 14. 00 in 22. 00, po potrebi in dogovoru. Če vaju delo zanima, jih pokličita. ",2,DO KONCA OKTOBRA 2024,POPOLDAN,po dogovoru
STREŽBA HRANE IN PIJAČE,435669,LJUBLJANA,8.0,9.3,"Strežba hrane in pijače (zajtrkov in narezkov). Pogoj so izkušnje, veselje do dela, zanesljivost in komunikativnost ter znanje slovenskega jezika. Plačilo se giblje od 9,3 €/h bruto do 10,46 €/h bruto. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POUČEVANJE,435668,BREZOVICA PRI LJUBLJANI,12.29,14.28,Iščejo osebo za poučevanje slovenskega jezika na predmetni stopnji. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
DELO V SKLADIŠČU,435667,TREBNJE,8.0,9.3,"Iščejo študenta/ko za pomoč v skladišču, v času večjih dobav. Delo obsega razpakiranje, prepakiranje, pošiljanje robe in urejanje skladišča. Delo poteka med tednom v dopoldanskem času, po potrebi in dogovoru (glede na količino dela). Zaželena je natančnost in fizična moč.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2024
MASKOTA,435666,SEVNICA IN OKOLICA,6.2,7.21,"Animacija je v obliki maskote. Maskoto zagotovi podjetje, potrebujejo študente/ke, ki bodo oblekli kostum in animirali. ",3,PO DOGOVORU,PO DOGOVORU,2. 9. 2024
DELO S STRANKAMI,435665,LJUBLJANA,7.74,9.0,"Največji dobavitelj avtomobilske opreme na svetu išče študenta/ko zadnjega letnika strojne ali elektro smeri za delo v kakovosti v razvoju svetlobne opreme za avtomobilsko industrijo, ki ima željo kasneje se redno zaposliti. Delo zajema sodelovanje s kupci, usklajevanje zahtev po navodilu mentorja. Naučili se boste zagotavljanja kakovosti in razvojnih procesov. Delo je odlična priložnost za pridobitev novega znanja, možen je nenehni napredek in rast. Pogoj je odlično znanje angleškega jezika. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,26. 8. 2024
POMOČ V KUHINJI,435664,KAMNIK - DUPLICA,8.2,9.53,"Iščejo dve osebi za pomoč zaposlenim v kuhinji, sestavljanje burgerjev, skrb za red in čistočo. Urnik dela je prilagodljiv. Pogoja: prijaznost, komunikativnost.   Dela se popoldan in sobote. Obvezno znanje slovenskega jezika. Ob prijavi navedi kratko predstavitev sebe. ",2,PO DOGOVORU,POPOLDAN,po dogovoru
KMETIJSKA DELA,435663,CELJE,6.2,7.21,"Podjetje išče polnoletni osebi za delo na poljedeljski in hmeljarski kmetiji, s traktorskimi priključki in razna dela po dogovoru. Urna postavka je po dogovoru, od 7,21 € do 12,00 € bruto. Zaželena je kmetijska, strojna ali podobna smer izobrazbe. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
BLAGAJNIK,435662,KAMNIK,8.0,9.3,"Iščejo polnoletni osebi za delo na blagajni, beleženje naročil, prodaja hrane ter izdajo pijače. Delo s strankami, dela se z denarjem. Pogoj: prijaznost, komunikativnost. Delovnik prilagodljiv. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
POMOČ V FRIZERSKEM SALONU,435661,LJUBLJANA,6.5,7.55,"Pomoč v frizerskem salonu, osnovna frizerska dela, kot so umivanje glave, masaža glave, barvanje, česanje in komunikacija s strankami. Zaželena so osnovna računalniška znanja in znanje angleškega jezika  ",1,PO DOGOVORU,IZMENSKO,2. 9. 2024
DELO V KAVARNI,435660,GROSUPLJE,8.0,9.3,V dnevnem baru oz. kavarni potrebujejo osebo za pomoč v strežbi. ,1,PO DOGOVORU,IZMENSKO,po dogovoru
ČIŠČENJE,435658,GROSUPLJE,7.31,8.5,"Potrebujejo osebi za čiščenje proizvodnih ter poslovnih prostorov v dopoldanskem času med tednom (sobote po dogovoru). Pričetek dela ob 6. 00. Delo občasno poteka na višini. Pogoj znanje slovenskega, hrvaškega ali srbskega jezika, pogovorno znanje angleščine je prednost. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
POMOČ PRI PRODAJI,435657,SLOVENJ GRADEC,6.2,7.21,Pomoč pri prodaji tekstilnih izdelkov in skrb za poslovalnico. ,1,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ V STREŽBI,435656,LJUBLJANA,7.85,9.12,"Iščejo polnoletno osebo za strežbo pijače v lokalu. Pričakujejo zanesljivost in prijaznost. Zaželene izkušnje v strežbi, pri šanku ter pogovorno znanje slovenskega jezika, komunikativnost in veselje do dela z ljudmi. Nudijo fleksibilen urnik. Delo poteka med tednom, po potrebi in dogovoru. Kandidatu/ki, ki že ima bogate delovne izkušnje na tem področju in samostojno opravlja svoje delo, se urna postavka zviša. ",1,PO DOGOVORU,PO DOGOVORU,po dogovoru
DELO NA RECEPCIJI,435655,LJUBLJANA,9.0,10.46,"Podjetje išče osebi za delo na recepciji mednarodno priznanega hotela. Delo obsega sprejemanje gostov, sprejem rezervacij, izdajanje faktur ter druge naloge vezane na poslovanje podjetja. Poleg slovenskega jezika je obvezno znanje vsaj še angleškega jezika. Delo poteka izmensko (dopoldne, popoldne, ponoči), po potrebi in dogovoru. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
INFORMATOR/KA - TIC,435654,LIPICA,6.2,7.21,"Za delo v novem turistično informacijskem centru potrebujejo dva/dve komunikativna/i, prijazna/i in prilagodljiva/i študenta/ki. Delo obsega informiranje obiskovalcev, skrb za urejenost pisarne, skrb za trgovinico, vodenje evidenc ter ostala dela. Zaželene so izkušnje v turizmu, poznavanje destinacije Kras in Brkini ter znanje angleškega jezika. Znanje drugih tujih jezikov (italijanskega, nemškega, idr. ) je prednost. ",2,SEPTEMBER,PO DOGOVORU,1. 9. 2024
POMOČNIK VZGOJITELJA/VZGOJITELJICE,435653,ŽUŽEMBERK,7.43,8.63,"Delo v vrtcu. Pogoj: študent/študentka predšolske vzgoje (opravljen vsaj 2. letnik), število ur po dogovoru.   ",1,PO DOGOVORU,DOPOLDAN,po dogovoru
INFORMACIJSKA VARNOST,435652,MARIBOR,6.2,7.21,"Iščejo absolventa/ko, z odličnim znanjem angleškega jezika, da se pridruži njihovi ekipi kot nadzornik varnosti na spletu. Vloga vključuje filtriranje podatkov v angleščini za zagotavljanje varnosti na spletu. Pozornost do podrobnosti in zavezanost kakovosti sta bistveni. Položaj ponuja fleksibilnost delovnega časa in stimulacijo na uspešnost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
RAZVOZ HRANE,435651,LJUBLJANA ŠIŠKA,6.5,7.55,Podjetje išče osebi za razvoz in dostavo pic. Pogoj je vozniški izpit B kategorije. Poleg urne postavke podjetje zagotovi tudi malico. Pogoj razumevanje slovenskega jezika. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
SPREMLJEVALEC/KA V REŠEVALNEM VOZILU,435650,MARIBOR,6.88,8.0,"Potrebujejo spremljevalce/ke v reševalnem vozilu, kot voznik/ica osebnega vozila. Zaželena je izobrazba tehnik/ica zdravstvene nege s strokovnim izpitom. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PISANJE ČLANKOV,435649,LJUBLJANA,7.2,8.37,"Na enem od vodilnih medijskih portalov iščejo študenta/ko za pisanje člankov za splet. Te zanima delo v mladem, dinamičnem kolektivu? Tvoje delo bo potekalo fleksibilno, po vnaprejšnjem dogovoru. Tematsko pokrivajo aktualne novice iz Slovenije in sveta, trače, življenjski slog in vse ostalo. Izkušnje s pisanjem in poznavanje medijev sta prednost, odprta glava pa pogoj. Ostalo te bodo že naučili. Te zanima? ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,26. 8. 2024
KOZMETIČNE STORITVE,435648,LJUBLJANA RUDNIK,7.74,9.0,"V novo odprtem studiu za nego telesa iščejo osebo za izvajanje različnih body terapij (butt lift, vacuum body, kavitacija, kriolipoliza, laser…). Obvezne izkušnje na tem področju",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2024
STREŽBA,435646,LJUBLJANA RUDNIK,9.0,10.46,Iščejo polnoletno simpatično in nasmejano osebo za pripravo dobre kave in strežbo alkoholnih pijač. Obvezne izkušnje. ,1,PO DOGOVORU,PO DOGOVORU,1. 9. 2024
PRODAJA,435645,VELENJE,6.2,7.21,"Si študent/ka in iščeš zanimivo delo, kjer boš lahko pridobil/a nova znanja, postal/a del dinamičnega podjetja in se pridružil/a prijaznemu kolektivu? Potem imajo pravo priložnost zate! Kaj ti ponujajo: raznolika dela, od dela z dostavo, prezentacije artiklov, pomoči na blagajni do dela na garderobi, učenje in rast. Pri njih se boš naučil/a novih veščin, ki ti bodo koristile tako v zasebnem kot poslovnem življenju, sodobno delovno okolje. Postani del dinamičnega in prijaznega kolektiva. ",2,PO DOGOVORU,IZMENSKO,po dogovoru
POMOČ PRI PRODAJI,435644,DOMŽALE,6.2,7.21,"Iščejo zanesljivo, komunikativno študentko/študenta za pomoč pri prodaji oblačil. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
DELO V TRGOVINI,435643,PORTOROŽ,6.2,7.21,"Podjetje išče primerno osebo za delo v butični trgovini s tekstilom. Pogoj je starost nad 18 let. Delo poteka večinoma v popoldanskem času oziroma po dogovoru. Nedelje so proste. Izkušnje zaželene, niso pogoj. Pošlji prijavo ali pokliči. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
DELO V ODVETNIŠKI PISARNI,435642,MARIBOR,7.0,8.13,V odvetniški pisarni potrebujejo študenta/ko za administrativna dela.  ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10. 9. 2024
DELO V PROIZVODNJI,435641,SLOVENSKA BISTRICA,7.0,8.13,"Iščejo vestno osebo za delo v proizvodnji, razno vrtanje, stiskanje, brušenje oz. v primeru predznanja tudi delo na stroju (CNC stružnice). Zaželeno je poznavanje osnov strojništva. Urna postavka je 8,13 € bruto oz. po dogovoru, saj je odvisna od znanja. Možna je kasnejša redna zaposlitev.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
SESTAVLJANJE ELEKTRIČNIH SKLOPOV,435640,MARIBOR,6.45,7.5,"Iščejo študenta/ki (zaželeno absolventa/ki) za sestavljanje elektronskih sklopov, ki vključuje sestavo, vijačenje in spajkanje. Dela se med 7. in 15. uro. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
STREŽBA,435639,CELJE,coerce,coerce,"Iščejo osebe za pomoč v strežbi. Iščejo komunikativno in zanesljivo osebo, ki ima rada delo s strankami. Nudijo delo v prijaznem delovnem okolju. Urna postavka je po dogovoru in je odvisna od izkušenj. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2024
POMOČ V STREŽBI,435638,DVOR PRI ŽUŽEMBERKU,7.0,8.13,"Potrebujejo dve prijetni, komunikativni osebi za delo v strežbi pijače. ",2,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
PORTIR/KA,435636,LJUBLJANA,7.0,8.13,"Potrebujejo osebo, ki bi pomagala na recepciji v vlogi portirja. Delo obsega pomoč pri parkiranju, odvozu/odnosu prtljage in registraciji gostov hotela. Vozniški izpit je pogoj.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
